date,price
2023-02-02 15:25:42,79999.0
2023-02-03 15:41:08,79999.0
2023-02-03 21:40:47,79999.0
2023-02-05 06:15:50,79999.0
2023-02-05 22:20:54,79999.0
2023-02-07 12:15:47,79999.0
2023-02-07 18:41:02,79999.0
2023-02-08 18:45:47,79999.0
2023-02-10 12:21:15,79999.0
2023-02-10 20:01:13,79999.0
2023-02-11 19:00:58,79999.0
2023-02-12 18:51:09,79999.0
2023-02-13 18:36:09,79999.0
2023-02-14 18:46:08,79999.0
2023-02-15 14:21:13,79999.0
2023-02-15 19:06:07,79999.0
2023-02-16 20:01:09,79999.0
2023-02-17 18:01:21,79999.0
2023-02-17 18:55:58,79999.0
2023-02-18 16:26:05,79999.0
2023-02-18 18:46:08,79999.0
2023-02-20 18:11:36,79999.0
2023-02-21 04:56:10,79999.0
2023-02-22 17:16:18,78000.0
2023-02-22 21:41:14,79999.0
2023-02-23 08:31:14,79999.0
2023-02-24 04:11:19,79999.0
2023-02-24 17:36:10,79999.0
2023-02-24 18:46:12,79999.0
2023-02-25 18:36:22,79999.0
2023-02-27 18:21:52,79499.0
2023-02-28 11:36:17,79999.0
2023-02-28 17:16:22,79999.0
2023-03-01 05:16:23,79999.0
2023-03-01 18:51:24,79999.0
2023-03-02 17:11:21,79999.0
2023-03-03 11:41:58,79999.0
2023-03-04 07:21:33,79999.0
2023-03-05 06:41:54,79999.0
2023-03-05 16:14:54,79499.0
2023-03-05 18:39:49,79999.0
2023-03-06 05:29:01,79499.0
2023-03-06 05:32:10,79999.0
2023-03-06 06:47:03,79499.0
2023-03-06 06:51:44,79999.0
2023-03-06 14:26:26,79999.0
2023-03-06 18:56:22,79999.0
2023-03-07 19:36:34,79999.0
2023-03-08 21:01:32,79999.0
2023-03-09 18:56:56,79999.0
2023-03-10 20:36:30,79999.0
2023-03-11 19:06:52,79999.0
2023-03-12 19:11:49,79999.0
2023-03-13 20:11:53,79999.0
2023-03-14 19:06:44,79999.0
2023-03-15 20:16:40,79999.0
2023-03-16 18:46:38,79999.0
2023-03-17 22:21:45,79999.0
2023-03-19 07:42:22,79999.0
2023-03-20 05:26:49,79999.0
2023-03-21 15:22:08,79999.0
2023-03-21 20:21:48,79999.0
2023-03-22 19:11:44,79999.0
2023-03-24 07:26:49,79999.0
2023-03-24 21:31:53,79999.0
2023-03-26 12:36:54,79999.0
2023-03-26 18:46:51,79999.0
2023-03-27 21:01:58,79999.0
2023-03-28 21:26:49,79999.0
2023-03-29 18:56:51,79999.0
2023-03-30 18:52:40,79999.0
2023-03-31 18:52:05,79999.0
2023-04-01 19:02:25,79999.0
2023-04-02 18:42:02,79999.0
2023-04-03 18:42:21,79999.0
2023-04-04 19:32:07,79999.0
2023-04-05 23:47:04,79999.0
2023-04-07 02:52:14,79999.0
2023-04-07 19:12:23,79999.0
2023-04-08 20:12:16,79999.0
