review,rating
"Dropped on concrete from 1,5 meter, screen cracked, and half screen died. It isnt very durable.",N/A
"The speaker is great! Battery life is awesome, if they make a new one with even bigger speaker and battery I will get it but otherwise I can see myself using this one for a long time.",N/A
"I tried it on standby for a day and only 1% was discharged. If I'm not using it too much, as I have an extra phone, this wp33 could last a week or so",N/A
